,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
1017,Boston Water and Sewer Commission,Yes,Office,980 Harrison Avenue,02119,430000,56.1,88,,Office,2001.0,1820.4,4.2,24127755.4,51%,49%,0%,5.200697674418604,279783.9,,,0901984010 0801982000 0801903010 0801981000
1018,GLC 6140006/26 WAVERLY ST/ROXBURY/MA,Yes,Office,26 WAVERLY ST,02119,107953,99.8,20,,Office,2009.0,961.3,8.9,10772152.7,83%,17%,0%,0.8151695645327133,,,,1200357000
1019,Suffolk HQ: 65 Allerton Street,Yes,Office,65 Allerton Street,02119,72087,116.3,23,,Office,2000.0,752.7,10.4,8383957.3,84%,16%,0%,7.420200590952599,,,,0800962000
1020,Warren Palmer LP,Yes,Office,7 Palmer Street,02119,31973,23.2,100,,Office,1920.0,52.4,1.6,740834.2,40%,60%,0%,15.725768617270822,,,,0802533010
1021,Renaissance Park,Yes,Office,1135 Tremont Street,02120,157421,94,94,,"Data Center, Office",1993.0,1205.9,7.7,14794420.6,65%,35%,0%,15.155538333513318,,,,0902704020
1022,198 Geneva Avenue,Yes,Office,198 Geneva Avenue,02121,60000,78.9,79,,Office,1968.0,342.3,5.7,4731624.4,44%,56%,0%,17.841666666666665,,,,1400038000
1023,Work Inc,Yes,Office,25 Beach St,02122,130000,47.5,94,,Office,1910.0,449.9,3.5,6168802,45%,55%,0%,6.38,,,,Not Available
1024,GLC 6150006/175 ADAMS ST/DORCESTER/MA,Yes,Office,175 ADAMS ST,02124,104335,136.7,8,,Office,2009.0,1227.5,11.8,14257824.4,74%,22%,0%,6.172425360617242,,,,1501583000
1025,Bayside Merchandise Mart,Yes,Office,150 Mt. Vernon Street,02125,159732,83.6,32,,"College/University, Office, Parking",1984.0,1292.2,8.1,13356267.1,100%,0%,0%,,,,,1303448200
1026,NSTAR Mass Ave Building A,Yes,Office,1165 Massachusetts Ave,02125,115803,114.7,98,,"Office, Parking",1981.0,705.5,6.1,13283206.4,0%,100%,0%,,,Information added for submittal as per Boston Energy Ordinance for Building A (work center) only.,,0703584000
1027,Mount Hope Cemetery Administration Building,Municipal,Office,355 Walk Hill St,02126,2400,156.7,Not Available,,Office,2000.0,29,12.1,376167.4,12%,0%,0%,,,,,
1028,28 Damrell,Yes,Office,28 Damrell Street,02127,86372,47.7,93,,"Manufacturing/Industrial, Office, Parking, Restaurant",1848.0,297,3.4,4118514.3,44%,56%,0%,5.498309637382485,,"There was roughly 16,000 sq ft. vacant during this period.",,0700254000
1029,425 Medford Street,Yes,Office,425 Medford Street,02129,186818,30.8,Not applicable to this property type,,"Office, Parking",1899.0,392.8,2.1,5752575.4,35%,65%,0%,66.50429830102024,,"Property has short term tenants.  We are actively trying to rent the building.  Depending on the tenant use would be the energy saving systems that could be added to the property

The gas company gave us estimated invoices only for most of 2013.

Still trying to get he electric usage as the invoices were not in our name and the tenant has moved out.

Building was vacant most of the year 2014.",,0201799000  0201798000
1030,465 Medford Street,Yes,Office,465 Medford Street,02129,180096,347.9,9,,"Office, Parking",1920.0,3637,20.2,62662008.5,11%,89%,0%,1.8057036247334755,,Electric Usage provided by NSTAR.  Tenant which occupies 60% of they building is working two shifts and is a high energy user. ,,0201804000 0201802000
1031,MGH Institute of Health Professions,Yes,Office,36 First Avenue,02129,64925,73.8,69,,Office,1865.0,440.1,6.8,4789885.8,89%,11%,0%,9.89449364651521,,,,0203504000 0203504001
1032,Schraffts Center,Yes,Office,529 Main Street,02129,609636,62.2,83,,"Office, Parking",1928.0,3350.8,5.5,37910504.1,81%,19%,0%,1424.5835219704873,,,,0201829000 0201829002
1033,Franklin Park Ranger Office,Municipal,Office,Morton St and Canterbury St,02131,1400,Not Available,Not Available,,Office,1905.0,Not Available,Not Available,Not Available,0%,0%,0%,,,,,
1034,119,Yes,Office,119 Braintree Street,02134,140974,36.4,99,,"Office, Parking",1908.0,399.1,2.8,5134773.1,56%,44%,0%,4.524238512066055,,Property use is office and artist studio.,,2201867000
1035,214 LINCOLN STREET,Yes,Office,214 LINCOLN STREET,02134,84000,46,Not applicable to this property type,,"Office, Parking",1986.0,302.5,4.4,3127255,100%,0%,0%,11.55,,common areas have added LED lighting,,2201328000
1036,HRE - 1380 Soldiers Field Rd,Yes,Office,1380 Soldiers Field Rd,02134,104922,109.4,41,,"Medical Office, Office, Parking",1990.0,689.8,9,8420091.5,66%,34%,0%,7.106104311218523,,,,2200578000
1037,10/20 Guest Street,Yes,Office,20 Guest Street,02135,218104,77.6,Not Available,,Office,1999.0,1603.4,7.4,16918037.3,95%,5%,0%,3.662472948685031,,,,01906-012
1038,42/38 Everett Street,Yes,Office,38 Everett Street,02135,42911,Not Available,Not Available,,Office,1111.0,Not Available,Not Available,Not Available,0%,0%,0%,,,"Although this property was reported in 2014 for 2013 actual data, the square footage is less than 50,000 sq. ft. and it is not required to be reported.  Thus, we are not reporting this property in 2015 with 2014 data and this property can be deleted.",,Not Available
1039,Evergreen Cemetery Administration Building,Municipal,Office,2060 Commonwealth Ave,02135,1800,107.3,Not Available,,Office,2000.0,14.6,8.1,193229.3,5%,0%,0%,,,,,
1040,HRE - 100 Holton St,Yes,Office,100 Holton St,02135,115577,20.7,100,,Office,1975.0,130.4,1.1,2391446.7,3%,97%,0%,5.530512126115058,,,,2200966000
1041,HRE - 176 Lincoln St,Yes,Office,176 Lincoln St,02135,450000,0.1,100,,Office,2002.0,4,0,41560.4,100%,0%,0%,,,"Property was abandon in 2013. Office space building fit-out that was never finished.
Energy use is from signage and exterior lights in site. ",,2200969000
1042,WGBH Educational Foundation - 1 Guest,Yes,Office,1 Guest Street,02135,278871,83.7,79,,Office,2006.0,1863.2,6.7,23338348.2,61%,39%,0%,10.015024868128991,,,,01909-011
1043,WGBH Educational Foundation - 10 Guest,Yes,Office,10 Guest Street,02135,199600,36.8,97,,Office,2000.0,704.9,3.5,7346695.7,98%,2%,0%,13.620741482965931,,,,01906-15
1044,Fairview Cemetery Administration Building,Municipal,Office,45 Fairview Ave,02136,2400,137.2,Not Available,,Office,2000.0,25.3,10.5,329350.4,11%,0%,0%,,,,,
1045,HRE - 114 Western Ave,Yes,Office,114 Western Ave,02138,70849,66.5,66,,"Office, Other, Urgent Care/Clinic/Outpatient",1925.0,439.7,6.2,4708115.9,92%,8%,0%,8.13702381120411,,,,2200268000
1046,955 Massachusetts Avenue,Yes,Office,955 Massachusetts Avenue,02139,101171,111.8,39,,Office,1970.0,879.4,8.7,11310601.3,56%,44%,0%,15.848415059651481,,,,Not Available
1047,HBS Connell House,Yes,Office,20 Harvard Way,02163,6067,42.7,97,,Office,1940.0,19.9,3.3,259327.5,34%,0%,66%,22.91082907532553,,,,2200530000
1048,HBS Cotting House,Yes,Office,50 Harvard Way,02163,16747,43.7,99,,Office,1968.0,56,3.3,732420.9,33%,0%,67%,22.792141876156922,,,,2200530000
1049,HBS Cumnock Hall,Yes,Office,33 Harvard Way,02163,26137,63.1,92,,Office,1974.0,129.5,5,1647965.4,40%,0%,60%,22.760837127443853,,,,2200530000
1050,HBS Dillon House,Yes,Office,30 Harvard Way,02163,5674,105.3,74,,Office,1965.0,42.1,7.4,597629.7,13%,0%,87%,22.911526260133943,,,,2200530000
1051,HBS Glass Hall,Yes,Office,660 Soldiers Field Road,02163,7563,72,84,,Office,1926.0,40.4,5.3,544905.7,25%,0%,75%,22.715853497289434,,,,2200530000
1052,HBS Greenhill House,Yes,Office,40 Harvard Way,02163,5940,92.6,80,,Office,1965.0,39,6.6,549769.1,15%,0%,85%,219.30976430976432,,,,2200530000
1053,HBS Loeb House,Yes,Office,10 Harvard Way,02163,6067,54.4,94,,Office,1940.0,25,4.1,330055.4,31%,0%,69%,22.91082907532553,,,,2200530000
1054,HBS Ludcke House,Yes,Office,690 Soldiers Field Road,02163,9611,36.9,95,,Office,1926.0,27.4,2.9,354802.4,36%,0%,64%,22.547081469149933,,,,2200530000
1055,HBS Morgan Hall,Yes,Office,15 Harvard Way,02163,117707,57.3,94,,Office,1927.0,543.8,4.6,6743695.2,47%,0%,53%,24.813307619767727,,A 48 kW solar PV system had been installed at Morgan Hall in March 2014.,,2200530000
1056,HBS Rock Center,Yes,Office,60 North Harvard Street,02163,27782,94.3,65,,Office,1969.0,206.2,7.4,2618679.1,41%,0%,59%,22.91411705420776,,,,2200530000
1057,HBS Teele Hall,Yes,Office,230 Western Ave,02163,52688,65.2,72,,Office,1984.0,313,5.9,3435075.6,87%,13%,0%,13.35218645611904,,,,2201058010
1058,HBS Wilder House,Yes,Office,680 Soldiers Field Road,02163,6377,76.9,83,,Office,1926.0,36.3,5.7,490515.6,25%,0%,75%,22.894778108828604,,,,2200530000
1059,HBS Wyss Hall,Yes,Office,710 Soldiers Field Road,02163,6290,73.5,69,,Office,1926.0,37.8,6,462360.8,51%,0%,49%,22.75039745627981,,,,2200530000
1060,101 Huntington Ave,Yes,Office,101 Huntington Ave,02199,830995,64.9,90,"2014, 2012, 2011, 2010, 2009, 2008","Office, Parking",1972.0,3148.6,5.4,37981910.3,54%,0%,46%,9.920474250228498,,,,Not Available
1061,111 Huntington Ave,Yes,Office,111 Huntington Ave,02199,1034179,74.5,76,"2014, 2012, 2011, 2010, 2009, 2008, 2007, 2003",Office,2001.0,6727.5,6.5,77038761.8,69%,1%,30%,12.643072427500462,,,,Not Available
1062,Prudential Tower,Yes,Office,800 Boylston Street,02199,1940299,110,59,"2010, 2008","Office, Parking",1965.0,13990.6,9.2,167043687.3,59%,3%,38%,13.167584809099685,,,,Not Available
1063,City Hall,Municipal,Office,One City Hall Square,02201,511000,122.2,29,,Office,1968.0,5456.5,10.7,62421146.4,69%,0%,31%,2.6459882583170256,,,,
1064,MA0131ZZ - JFK FEDERAL BUILDING,Yes,Office,15 NEW SUDBURY STREET,02203,1045834,78.2,Not Available,"2012, 2011, 2010, 2009, 2005, 2000","Data Center, Office, Parking",1966.0,6242.2,6.4,75990371.8,52%,0%,48%,13.366413556991867,,,,0302605000
1065,10 Milk Street,Yes,Office,10 Milk Street,02210,225294,58.3,88,,"Fast Food Restaurant, Office",1903.0,1153.8,5.1,13132989.3,72%,2%,26%,7.968254813710086,,,,0303907000
1066,10/20 Channel Center,Yes,Office,10 Channel Center Street,02210,248760,58.9,84,,Office,1920.0,1418.6,5.7,14663514.5,100%,0%,0%,14.94975076378839,,,,0602757030 0602757045
1067,12 Farnsworth Street,Yes,Office,12 Farnsworth Street,02210,56588,Not Available,Not Available,,"Fast Food Restaurant, Office, Supermarket/Grocery",1918.0,0,0,Not Available,0%,0%,0%,,,,,0602665000
1068,21 Custom House,Yes,Office,21 Custom House Street,02210,135746,92.9,52,,"Office, Parking",1984.0,945.3,9,9771029.3,100%,0%,0%,14.052682110706579,,,,0303988000
1069,230 Congress Street,Yes,Office,230 Congress Street,02210,153259,219.1,6,,Office,1930.0,3141.7,20.5,33585923.1,89%,0%,11%,14.962253440254733,,,,0304190000
1070,250 summer st,Yes,Office,250 summer st,02210,100096,59.9,75,,Office,1903.0,571.9,5.7,5995762.9,97%,3%,0%,11.453005115089514,,,,0602701002 0602701001
1071,253 Summer/27 Melcher,Yes,Office,253 summer st,02210,216012,75,80,,Office,1902.0,1319.7,6.1,16207442.6,65%,35%,0%,10.559135603577579,,,,0601163005 0601163015 0601163025 0601164005
1072,25-35 Thomson Place - Parcel 0602652010,Yes,Office,25-35 Thomson Place,02210,170569,81.1,Not Available,,Office,1900.0,1107.6,6.5,13833392.6,62%,38%,0%,5.729059793983667,,,,Not Available
1073,266 Summer Street,Yes,Office,266 Summer Street,02210,19238,81.3,Not Available,,"Office, Other",1899.0,145.3,7.6,1563329.1,91%,9%,0%,16.846865578542467,,,,0602701000
1074,268 Summer Street,Yes,Office,268 Summer Street,02210,68980,57.2,66,,Office,1898.0,381.9,5.5,3947069.8,100%,0%,0%,8.042910988692375,,,,0602700000
1075,274 Summer Street,Yes,Office,274 Summer St,02210,74046,70.7,64,,"Office, Restaurant",1899.0,499.3,6.7,5234429,97%,3%,0%,12.241039353915134,,,,0602699000
1076,280 Summer Street,Yes,Office,280,02210,138350,82,Not Available,,Office,1900.0,1010.9,7.3,11346653.8,66%,0%,0%,,,All usage data was provided by the utility company.    ,,0602698000
1077,281 Summer Street,Yes,Office,273-281 Summer Street,02210,168408,48,Not Available,,Office,1904.0,782.8,4.6,8090977.2,100%,0%,0%,1.73269678400076,,,,02704000 02703000
1078,285 Summer Street,Yes,Office,285 Summer Street,02210,56694,68,55,,"Office, Parking",1903.0,306.8,6.3,3311046.9,91%,9%,0%,21.103216001971493,,,,0602705000
1079,303 Congress Co. LLC,Yes,Office,303 Congress Street,02210,69553,41.2,Not Available,,Office,2004.0,230.2,3.3,2865214.5,62%,38%,0%,8.81773611490518,,,,Not Available
1080,320 Summer Street,Yes,Office,320 Summer Street,02210,122500,81.4,78,,Office,2013.0,800.9,6.5,9972366.3,62%,38%,0%,8.597551020408163,,,,02689-000
1081,343 Congress,Yes,Office,343 Congress Street,02210,113555,130,12,,"Office, Other - Restaurant/Bar, Parking",2001.0,1249.1,11.7,13827703.9,85%,15%,0%,10.538192485614351,,,,0602694000
1082,45 Milk Street,Yes,Office,45 Milk Street,02210,76448,55.5,Not Available,,"Office, Retail Store",1893.0,301.8,3.9,4241883.4,41%,59%,0%,2.419945583926329,,,,0304662000
1083,5 Channel Center,Yes,Office,5 Channel Center Street,02210,52500,72.3,64,,Office,1900.0,284.6,5.4,3795149.6,50%,50%,0%,4.700952380952381,,,,0602750030
1084,51 Melcher,Yes,Office,51 Melcher Street,02210,99000,61.5,86,,Office,1915.0,512.2,5.2,6087768.5,71%,29%,0%,4.545454545454546,,,,0601166040
1085,51 Sleeper Street,Yes,Office,51 Sleeper Street,02210,150363,64.4,72,,"Office, Parking",1929.0,936.1,6.2,9676391.5,100%,0%,0%,9.911347871484342,,,,0602670000
1086,Atlantic Wharf,Yes,Office,280 Congress St.,02210,1061665,72.5,93,"2015, 2013","Data Center, Office, Parking, Restaurant",2010.0,5275.2,6.3,60984204.1,77%,23%,0%,11.938734160969586,,,,0302952018 0302952020 0302952022 0302952024
1087,BOS - 245 Summer Street,Yes,Office,245 Summer Street,02210,905414,126.2,96,2013,"Data Center, Financial Office, Office",1975.0,10431.5,11.5,114286490.8,87%,12%,0%,19.65067913683685,,,,04-3337741
1088,Channel Trust,Yes,Office,369 Congress St,02210,57800,76.6,88,,"Office, Other",1918.0,289.4,5,4429057.5,28%,72%,0%,10.122837370242214,,"NStar Electric consumption is compiled meter usage by NStar. 23 meters total.
2014 Was First Full Year Heating System was on Gas
Major Exterior Renovation 2014-2015, Concrete and Masonry, A lot of water was used
",,0602686000
1089,"DWF III 313 Congress Street, LLC",Yes,Office,313 Congress Street,02210,72912,52.5,82,2014,Office,1890.0,370.4,5.1,3829095.9,100%,0%,0%,11.187458854509545,,,,Not Available
1090,"DWF III 330 Congress Street, LLC",Yes,Office,330 Congress Street,02210,36394,46.8,83,2014,"Convenience Store, Office",1895.0,154.1,4.2,1703572.9,86%,14%,0%,17.774907951860197,,,,Not Available
1091,"DWF III A Street, LLC",Yes,Office,300 A Street,02210,106171,109.2,69,,Office,1904.0,922.9,8.7,11589971.9,61%,39%,0%,6.1061871885919885,,,,Not Available
1092,MA0011ZZ - CPT JF WILLIAMS CG B,Yes,Office,408 ATLANTIC AV,02210,176013,61.2,92,"2014, 2012",Office,1918.0,832.6,4.7,10765699.9,46%,16%,38%,5.537659150176408,30412.4,,,0302959000
1093,ONE Marina Park Drive,Yes,Office,ONE Marina Park Drive,02210,663381,65.4,83,,"Office, Parking, Restaurant",2009.0,2913.5,5.5,34781975.8,70%,30%,0%,14.288210985640754,,,,0602671035
1094,Seaport Center,Yes,Office,70 Fargo Street,02210,497549,129.3,Not Available,,"Data Center, Office, Parking",1905.0,5937.3,12.5,61370359.4,100%,0%,0%,,,"7/18/2014:  Tenant data centers
Monster (27,398 SF)
Verizon (28,683 SF)
BT America (4,179 SF)
TCG/ATT (11,312 SF)",,0602825000
1095,The Atlantic Building,Yes,Office,400 Atlantic Avenue,02210,104690,68.3,84,,Office,1899.0,613.5,5.9,7153817.3,75%,25%,0%,11.419428789760245,,,,0302960000
1096,World Trade Center,Yes,Office,200 Seaport Blvd,02210,804426,67.1,Not Available,,"Convenience Store, Fast Food Restaurant, Food Sales, Non-Refrigerated Warehouse, Office, Other, Restaurant, Retail Store, Social/Meeting Hall",1986.0,5222.5,6.5,53981717.5,100%,0%,0%,12.113606472192595,,,,0602672052
1097,World Trade Center East-Boston,Yes,Office,2 Seaport Lane,02210,486760,60.3,79,"2009, 2008","Office, Social/Meeting Hall",2000.0,2839.9,5.8,29354910.2,100%,0%,0%,13.765921604075931,,,,0602679035
1098,World Trade Center West,Yes,Office,155 Seaport Boulevard,02210,551185,72,70,,Office,2000.0,3837.6,7,39667083.4,100%,0%,0%,16.41027967016519,,,,0602677010
1099,100 Bay State Road,Yes,Office,100 Bay State Road,02215,123678,163.6,Not Available,,"Food Service, Office",2012.0,1496.3,12.1,20228426.2,48%,52%,0%,41.59996118954058,,,,Not Available
1100,109 Brookline Ave. - Ste # 602030,Yes,Office,109 BROOKLINE AVE,02215,305362,275.7,1,,"Data Center, Office, Parking",1990.0,7541.9,24.7,84185055.5,84%,16%,0%,17.508072386217016,,,,2100071000 2100073000 2100070000 2100068000
1101,11-19 Deerfield Street,Yes,Office,11-19 Deerfield Street,02215,69435,98.3,79,,Office,1925.0,438.1,6.3,6828690.9,25%,75%,0%,6.825088211996832,,,,0503757001
1102,1295 Boylston - Ste# 535088,Yes,Office,1295 BOYLSTON ST,02215,159900,159.3,15,,"Office, Parking, Retail Store",1990.0,1808.6,13.8,20832739.5,77%,23%,0%,10.10087876956964,,Property Management received from national grid and NStar the gas use for the missing tenants and whole building electric uses.,,0504210010
1103,25 Buick Street,Yes,Office,25 Buick Street,02215,122472,Not Available,Not Available,,"Office, Parking",1928.0,0,0,Not Available,0%,0%,0%,,,Check Parking ,,2100400000
1104,264-270 Bay State Road,Yes,Office,264-270 Bay State Road,02215,65016,43.6,97,,Office,1913.0,214.5,3.3,2833593.7,52%,48%,0%,29.93263196751569,,,,Not Available
1105,577-599 Commonwealth Avenue (595 Comm Ave),Yes,Office,577-599 Commonwealth Avenue (595 Comm Ave),02215,481119,94.8,64,,"College/University, Office, Parking",1996.0,3238.2,7.6,40186541,63%,37%,0%,15.187882703285148,,,,0503991000
1106,881 Commonwealth Avenue,Yes,Office,881 Commonwealth Avenue,02215,107773,Not Available,Not Available,,"Medical Office, Office",1915.0,0,0,Not Available,0%,0%,0%,,,Shares an electricity meter with 10 Buick Street,,2100399000
1107,983-985 Commonwealth Avenue,Yes,Office,983-985 Commonwealth Avenue,02215,36865,157.3,13,,Office,1981.0,429.9,11.7,5799373,48%,52%,0%,5.617794656177947,,,,Not Available
1108,Landmark Center,Yes,Office,401 Park Drive,02215,1003987,104.1,86,"2014, 2013","Data Center, Non-Refrigerated Warehouse, Office, Other - Mall, Retail Store",1928.0,8687.5,8.7,104494248.9,69%,31%,0%,15.097406639727406,,,,2100077000
1109,MA0153ZZ - TP O'NEILL FED BLDG,Yes,Office,10 CAUSEWAY STREET,02222,847497,40,97,"2014, 2012, 2011, 2005, 2000","Office, Parking",1986.0,2658.5,3.4,30955602,76%,24%,0%,5.812824441298347,30384.7,,,0301920000
1110,882-888 Commonwealth Avenue,Yes,Office,882-888 Commonwealth Avenue,02446,99352,20.4,100,,Office,1921.0,154.7,1.6,2028744.8,53%,47%,0%,32.8357758273613,,,,Not Available
1111,910 Commonwealth Avenue,Yes,Office,910 Commonwealth Avenue,02446,45500,46.5,98,,Office,1950.0,172.9,3.8,2116606.6,33%,0%,0%,2.301098901098901,,"Need year built. No data yet, recently acquired
",,Not Available
1112,Combined Jewish Philanthropies,Yes,Office,126 High Street,02110,76315,103.6,68,,Office,1899.0,664.4,8.7,7903759.6,44%,0%,0%,9.724169560374763,,,,0304133000
1113,399washington,Yes,Other,399 washington St,02108,81647,7.6,Not applicable to this property type,,"Other, Retail Store",1918.0,44.1,0.5,622216.6,41%,59%,0%,0.27680135216235746,,,,03-04736-000
1114,Parkman House,Municipal,Other,33 Beacon St,02108,18000,66.6,Not applicable to this property type,,Other,2000.0,83.6,4.6,1199333.8,38%,62%,0%,0.7333333333333333,,,,
1115,38 Newbury St,Yes,Other,38 Newbury St,02109,460002,3086.3,Not applicable to this property type,,Other,1920.0,94303.6,205,1419704503.9,0%,0%,100%,1.5162977552271513,,,,0501241000
1116,Harbor Garage,Yes,Other,70 East India Row,02110,364500,11.2,Not applicable to this property type,,Other,1969.0,393.3,1.1,4065634.6,100%,0%,0%,8.360493827160493,,,,0302995000
1117,Boston Common Visitor Center,Municipal,Other,Tremont St Vstr  /  West,02111,1234,101.7,Not applicable to this property type,,Other,2000.0,12.1,9.8,125486.5,100%,0%,0%,,,,,
1118,205 Portland Street,Yes,Other,205 Portland Street,02114,47500,25.2,Not applicable to this property type,,Other,1900.0,102,2.1,1195923,74%,26%,0%,13.76842105263158,,,,0301651000
1119,BRA / EDIC,Municipal,Other,43 HAWKINS ST,02114,23408,267.7,Not applicable to this property type,,Other,2000.0,401.3,17.1,6266506.3,25%,75%,0%,,,,,
1120,HMS-180 Longwood,Yes,Other,180 Longwood,02115,61540,190.8,Not applicable to this property type,,Other,1920.0,846.8,13.8,11742388.7,26%,0%,57%,8.085797855053624,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.",,0401872000
1121,100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,02116,843168,21.1,Not applicable to this property type,,"Bank Branch, Medical Office, Other",1969.0,1698.5,2,17800335,97%,3%,0%,1.4211877111085809,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street. ",,0401082001
1122,120 Herald Street,Yes,Other,120 Herald Street,02116,115680,2,Not applicable to this property type,,"Other, Parking",1967.0,22.5,0.2,232787.1,100%,0%,0%,,,this is a parking structure only.  There is no building associated.,,0500515000
1123,1010 Massachusetts Ave,Municipal,Other,1010 Massachusetts Ave,02118,195000,31.2,Not applicable to this property type,,Other,2000.0,446.2,2.3,6092315,46%,54%,0%,1.754871794871795,,,,
1124,960 Mass Ave.,Yes,Other,960 Massachusetts Ave,02118,77000,59.2,Not applicable to this property type,,Other,1920.0,323.8,4.2,4558481.5,41%,59%,0%,8.511688311688312,,,,Not Available
1125,Beck Southend Trust,Yes,Other,49-59 Wareham St.,02118,57072,60.1,Not applicable to this property type,,Other,1900.0,202,3.5,3431713.6,13%,87%,0%,4.821979254275301,,2014 Was First Full Year of Gas Heat Switch over,,0801136000
1126,Blackstone Square LP,Yes,Other,1511 - 1525 Washington Street,02118,50290,Not Available,Not applicable to this property type,,Other,1900.0,0,0,Not Available,0%,0%,0%,,,,,Not Available
1127,Central Maintenance Facility,Municipal,Other,400 Frontage Rd,02118,422000,139.8,Not applicable to this property type,,Other,2000.0,3523.4,8.3,58983575.4,15%,85%,0%,1.04218009478673,,,,
1128,Traveler Storage LLC,Yes,Other,33 Traveler Street,02118,53312,25.2,Not applicable to this property type,,Other,1988.0,92.9,1.7,1343746.1,37%,63%,0%,2.2040066026410563,,,,0306576000
1129,105 Magazine St,Municipal,Other,105 Magazine St,02119,5150,172.7,Not applicable to this property type,,Other,2000.0,48.9,9.5,889401,4%,96%,0%,,,,,
1130,51-59 Amory Street,Yes,Other,51-59 Amory Street,02119,78738,2.3,Not applicable to this property type,,Other,1876.0,9.7,0.1,183273.9,0%,100%,0%,0.03556097437069776,,"Tenanted portion of the building is less than 1% of building total .  Management office only.For all intents and purposes, this is a vacant building.",,1101201001
1131,Bec Site Office,Municipal,Other,2201 Washington St,02119,14116,13.4,Not applicable to this property type,,Other,2000.0,18.2,1.3,188513,100%,0%,0%,,,,,
1132,Deer Park,Municipal,Other,Boylston  /  Tremont St,02120,24000,2.2,Not applicable to this property type,,Other,2000.0,5.2,0.2,53292,100%,0%,0%,,,,,
1133,Renaissance Park Garage LLC,Yes,Other,1125 Tremont St,02120,319764,5.7,Not applicable to this property type,,Other,2001.0,175.6,0.5,1814711.7,100%,0%,0%,,,,,0901352010
1134,District 7 Yard,Municipal,Other,58 Gibson St,02122,1500,253.2,Not applicable to this property type,,Other,2000.0,28.6,19.1,379743.9,51%,49%,0%,4.933333333333334,,,,
1135,719 Washington Street,Municipal,Other,719 Washington Street,02124,1428,6.6,Not applicable to this property type,,Other,2000.0,0.9,0.6,9454.7,100%,0%,0%,,,,,
1136,Strand Theatre,Municipal,Other,543 Columbia Rd,02125,18000,259.1,Not applicable to this property type,,Other,2000.0,319.1,17.7,4663686,35%,65%,0%,0.5444444444444444,,,,
1137,820 Cummins Hwy,Municipal,Other,820 Cummins Hwy,02126,49458,Not Available,Not applicable to this property type,,Other,2000.0,0,0,Not Available,0%,0%,0%,0,,,,
1138,Transorg LP c/o KeyPoint Partners LLC,Yes,Other,7 Elkins Street,02127,60000,117.1,Not applicable to this property type,,Other,1981.0,627.7,10.5,7024937.7,67%,0%,0%,,,"The water meter was changed out on October 24th, 2013. ",,0603405100
1139,East Boston Stadium,Municipal,Other,143 Porter St,02128,112500,9.3,Not applicable to this property type,,Other,2000.0,95.2,0.8,1041621.7,76%,0%,0%,,,,,
1140,56 Roland Street,Yes,Other,56 Roland Street,02129,132614,3465,Not Available,,"Office, Other",1910.0,24742.9,186.6,459506522.9,2%,98%,0%,6.862774669341095,,We have been doing building renovations for about 18 months which has caused and heightened energy usage.,,0202125000
1141,Curley House,Municipal,Other,350 Jamaicaway,02130,122183,6.6,Not applicable to this property type,,Other,2000.0,47.8,0.4,802415.3,15%,85%,0%,0.018005778217919023,,,,
1142,Franklin Park Greenhouse,Municipal,Other,190 Morton Street,02130,25000,255.2,Not applicable to this property type,,Other,2000.0,360.3,14.4,6380811.1,4%,89%,0%,,,,,
1143,Animal Control Shelter,Municipal,Other,26 Mahler Rd,02131,10000,176.6,Not applicable to this property type,,Other,2000.0,112,11.2,1766001.8,24%,76%,0%,1.14,,,,
1144,District 6 Yard,Municipal,Other,315 Gardner St,02132,3000,79.2,Not applicable to this property type,,Other,2000.0,23,7.7,237611.7,100%,0%,0%,4.5,,,,
1145,WBZ TV,Yes,Other,1170 Soldiers Field Road,02134,98982,196.5,Not applicable to this property type,,"Other, Parking",1948.0,1560.9,16.1,19067079,66%,34%,0%,10.856618859215299,,,,2200551000
1146,Veronica Smith Senior Center,Municipal,Other,20 Chestnut Hill Ave,02135,13100,77,Not applicable to this property type,,Other,2000.0,64.1,4.9,1008333.1,24%,76%,0%,0.9847328244274809,,,,
1147,26 Central Ave,Municipal,Other,26 Central Ave,02136,12300,Not Available,Not applicable to this property type,,Other,2000.0,Not Available,Not Available,Not Available,0%,0%,0%,,,,,
1148,The Boston Globe,Yes,Other,135 William T. Morrissey Blvd.,02205,732000,96.8,Not applicable to this property type,,"Other, Parking",1958.0,6588.4,9.3,68740496.6,98%,2%,0%,20.208028169014085,,,,1302364050
1149,Harbor Seafood,Yes,Other,8 Seafood Way,02210,66087,138.7,Not applicable to this property type,,Other,2001.0,835.6,12.6,9168528.4,87%,13%,0%,129.33557280554422,,,,0602674003
