,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
1420,42/38 Everett Street,Yes,Office,38 Everett Street,2135,"42,911",36.6,90,,Office,1111,134.3,3.1,"1,571,281.00",100.00%,,,2.3,,"Although this property was reported in 2014 for 2013 actual data, the square footage is less than 50,000 sq. ft. and it is not required to be reported.  Thus, we are not reporting this property in 2015 with 2014 data and this property can be deleted.",,01873-000,"2015, 2016, 2017, "
1421,Chiswick Court Condominium Trust,Yes,Other - Lodging/Residential,4 & 8 Chiswick Road,2135,"43,000",105.7,Not Available,,"Other - Lodging/Residential, Parking",1929,253,5.9,"4,543,990.20",10.90%,89.10%,,42.5,,"Property GFA (Buildings) and Property GFA (Parking) are estimated.We are not able to track owner occupancy. For example, some owners that live at the project use off-site mailing addresses. We estimate, but cannot guarantee, that more than 80% of the project is owner occupied. ",,2102330000,"2017, "
1422,Brighton Branch,Municipal ,Library,40 Academy Rd,2135,"17,208",105.4,Not Available,,Library,2000,113.6,6.6,"1,813,554.80",29.40%,70.60%,,,,,,2205472000,"2016, 2017, "
1423,Leventhal House: 40 Wallingford Rd.,Yes,Multifamily Housing,40 Wallingford Rd,2135,"158,387",100.6,24,,Multifamily Housing,2007,983.5,6.2,"15,934,183.70",26.60%,73.40%,,58,,,,2102565010,"2015, 2016, 2017, "
1424,Charlesview Residences - Compliance,Yes,Multifamily Housing,400 Western Avenue,2135,"211,834",71.5,56,,Multifamily Housing,2013,"1,051.00",5,"15,150,337.40",50.30%,49.70%,,58,,,,2200862010,"2016, 2017, "
1425,Colborne Court Condominium Trust,Yes,Multifamily Housing,41-67 Colborne Rd,2135,"84,410",86.8,49,,Multifamily Housing,1965,538.6,6.4,"7,327,647.90",17.50%,12.60%,,48,,Estimated Floor area,,2101986000,"2015, 2016, 2017, "
1426,Engine 51,Municipal ,Fire Station,425 Faneuil St,2135,"8,550",113.7,Not Available,,Fire Station,2000,58.4,6.8,"972,067.80",21.70%,78.30%,,,,,,2203358000,"2016, 2017, "
1427,Dexter Residential,Yes,Multifamily Housing,449-453 Washington Street,2135,"62,433",48,Not Available,,Multifamily Housing,1997,177.4,2.8,"2,998,242.20",18.70%,81.30%,,29.7,,,,304782010,"2017, "
1428,Strathmore Court,Yes,Multifamily Housing,48-52 Strathmore Rd,2135,"51,700",62.1,86,,Multifamily Housing,1980,187.3,3.6,"3,211,516.80",16.10%,83.90%,,3195.6,,Gross floor area calculated using number of residential units and common areas.,,2366000,"2017, "
1429,Brighton-Allston Apartments,Yes,Multifamily Housing,493 501 WASHINGTON ST,2135,"39,006",79.2,73,,Multifamily Housing,1920,177.4,4.5,"3,087,786.30",13.40%,86.60%,,49.3,,"Multiple addresses contribute to this property, which is why it was not originally flagged for reporting. Addresses:493 Washington St.495 Washington St.497 Washington St.499 Washington St501 Washington St",,2204054000,"2017, "
1430,Chestnut Hill Park Condominium Trust,Yes,Multifamily Housing,"5 Braemore Rd, 324 CH. Hill Ave. 1868, 1870, 1872, 1874, 1880 Comm. Ave",2135,"97,640",45.3,97,,Multifamily Housing,1915,334.1,3.4,"4,424,526.10",26.60%,8.00%,,44.4,,Estimated Floor area,,2102333000,"2015, 2016, 2017, "
1431,LYON,Municipal ,K-12 School,50 Beechcroft St.,2135,"13,336",70.7,77,,K-12 School,1926,61.8,4.6,"942,225.20",38.70%,61.30%,,,,,,2204028000,"2016, 2017, "
1432,WINSHIP,Municipal ,K-12 School,54 Dighton St.,2135,"41,016",52.2,95,,K-12 School,1901,130,3.2,"2,141,939.40",23.50%,76.50%,,,,,,2204864000,"2016, 2017, "
1433,EDISON,Municipal ,K-12 School,60 Glenmont Rd.,2135,"100,500",66,87,,K-12 School,1932,382.4,3.8,"6,629,580.00",14.10%,85.90%,,,,,,2205229000,"2016, 2017, "
1434,YMCA of Greater Boston - Oak Square,Yes,Fitness Center/Health Club/Gym,615 Washington Street,2135,"38,813",346.9,Not Available,,"Fitness Center/Health Club/Gym, Swimming Pool",2004,817.1,21.1,"13,463,369.60",23.40%,76.60%,,111.8,,,,2203801000,"2016, 2017, "
1435,Commonwealth Properties,Yes,Multifamily Housing,66-70 Chiswick,2135,"36,800",117.8,30,,Multifamily Housing,1920,245.6,6.7,"4,334,063.60",11.00%,89.00%,,44.2,,,,2102304000,"2015, 2016, 2017, "
1436,St. Elizabeth Medical Center,Yes,Hospital (General Medical & Surgical),736 Cambridge Street,2135,"660,000",220.3,91,,Hospital (General Medical & Surgical),1960,"8,775.90",13.5,"143,417,393.40",25.00%,75.00%,,46.4,,,,2101836000 2101835100,"2014, 2015, 2016, 2017, "
1437,Brighton Marine Health Center,Yes,Medical Office,77 Warren Street,2135,"204,504",93.3,Not Available,,Medical Office,1938,"1,230.20",6,"19,081,218.00",34.10%,64.30%,,14.2,,,,2101829500,"2016, 2017, "
1438,80 Guest Street,Yes,Other - Technology/Science,80 Guest Street,2135,"200,000",Not Available,Not Available,,"Other, Other - Technology/Science",2016, Not Available ,Not Available, Not Available ,,,,,,This property was under construction for the 1st half of the year which is why we're unable to provide a full 12 months of information (water/gas/electric).,,01905-100,"2017, "
1439,"Field Corp 81,85,89 Strathmore Road",Yes,Multifamily Housing,"81,85 and 89 Strathmore Road",2135,"51,400",Not Available,Not Available,,Multifamily Housing,1912, Not Available ,Not Available, Not Available ,,,,,,,,2102176000,"2015, 2016, 2017, "
1440,Bancroft Realty LTD PTR: 88 Washington Street,Yes,Multifamily Housing,88 Washington Street,2135,"30,348",85.7,79,,Multifamily Housing,1920,158.1,5.2,"2,601,430.30",23.60%,76.40%,,33.9,,,,2101915000,"2017, "
1441,Waverly,Yes,Multifamily Housing,9 Bronsdon Street,2135,"96,236",106.8,11,,Multifamily Housing,1970,619.3,6.4,"10,279,861.70",22.10%,77.90%,,54.3,,,,2200716000,"2017, "
1442,Commonwealth Square Condo Trust,Yes,Multifamily Housing,9 Commonwealth Court,2135,"82,350",70.1,86,,Multifamily Housing,1981,443.9,5.4,"5,775,534.90",23.50%,,,49.2,,,,2101776000,"2016, 2017, "
1443,GARFIELD,Municipal ,K-12 School,95 Beechcroft,2135,"47,314",62.2,94,,K-12 School,1925,168.8,3.6,"2,944,744.20",13.00%,87.00%,,,,,,2204036000,"2016, 2017, "
1444,96 Washington St. Realty Trust,Yes,Multifamily Housing,96 Washington St.,2135,"30,348",81.8,79,,Multifamily Housing,1910,146.1,4.8,"2,483,907.40",17.70%,82.30%,,30.2,,,,2101914000,"2017, "
1445,99 Chestnut Hill Park,Yes,Multifamily Housing,99 Chestnut Hill Park,2135,"57,949",24.5,100,,Multifamily Housing,2005,75.6,1.3,"1,421,695.60",0.10%,99.90%,,39.1,,Estimated Floor area,,2204946000,"2015, 2016, 2017, "
1446,Reservoir Towers: Reservoir Towers,Yes,Multifamily Housing,CHESNUT HILL AVE/ 1925 Commonwealth,2135,"225,370",62.6,96,,Multifamily Housing,1978,814.6,3.6,"14,116,232.70",14.20%,85.80%,,46.7,,Alternative address 1925 Commonwealth - listed as 271 Chestnut Hill on CBL. ,,2102474000,"2015, 2016, 2017, "
1447,"100 BBP, LLC",Yes,Non-Refrigerated Warehouse,100-170 Meadow Road ,2136,"198,836",Not Available,Not Available,,Non-Refrigerated Warehouse,1958, Not Available ,Not Available, Not Available ,,,,10.2,,Some of the meter numbers do not correspond with what is listed on my invoices ,,1809650040,"2016, 2017, "
1448,101 Sprague,Yes,Non-Refrigerated Warehouse,101 Sprague St,2136,"76,000",12.7,85,,Non-Refrigerated Warehouse,1915,82.7,1.1,"968,352.00",100.00%,,,1319.2,,,,1812984000,"2017, "
1449,0413 Hyde Park,Yes,Supermarket/Grocery Store,1025 Truman Hwy,2136,"38,890",225.2,68,,Supermarket/Grocery Store,2001,627.7,16.1,"8,759,621.40",57.40%,42.60%,,120.6,,,,1809855010,"2015, 2016, 2017, "
1450,Hyde Park Community Center,Municipal ,Social/Meeting Hall,1175 River St,2136,"40,000",20.4,Not Available,,Other - Recreation,2000,69.7,1.7,"815,493.60",100.00%,,,,,,,1809062000,"2016, 2017, "
1451,E-18 Station,Municipal ,Police Station,1249 Hyde Park Ave,2136,"23,400",44.7,Not Available,,Police Station,2000,61.6,2.6,"1,047,031.30",68.80%,,,15.7,,,,1809107000,"2016, 2017, "
1452,Boston Prep,Yes,K-12 School,1286 Hyde Park Ave,2136,"39,000",55.1,90,,K-12 School,1960,130.7,3.4,"2,147,309.40",24.00%,76.00%,,13,,,,1809140010,"2016, 2017, "
1453,Stony Brook Building,Yes,Senior Care Community,130 Bradlee Street,2136,"45,000",Not Available,Not Available,,Senior Care Community,1899, Not Available ,Not Available, Not Available ,,,,,,,,1807892000,"2017, "
1454,Mattapan Apartments E,Yes,Multifamily Housing,1332-1342 River Street,2136,"34,222",85.8,52,,Multifamily Housing,1920,183.6,5.4,"2,934,590.90",29.20%,70.80%,,10.9,,"Square footage is estimated.",,1811577000 18578000,"2015, 2016, 2017, "
1455,Blake Estates I,Yes,Multifamily Housing,1344 Hyde Park Avenue,2136,"132,000",79.7,42,,Multifamily Housing,1980,649.7,4.9,"10,519,015.10",26.80%,73.20%,,26.1,,Also Includes ID 1809255010,,1809255000,"2015, 2016, 2017, "
1456,07579-Hyde Park,Yes,Supermarket/Grocery Store,1377 Hyde Park Avenue,2136,"53,642",295.7,42,,Supermarket/Grocery Store,1999,"1,128.30",21,"15,863,676.40",55.70%,44.30%,,8.2,,,,1809288000,"2014, 2016, 2017, "
1457,Boston Renaissance Charter Public School,Yes,K-12 School,1415 Hyde Park Ave,2136,"108,000",71.9,44,,"K-12 School, Parking",2010,527.2,4.9,"7,765,647.40",45.70%,54.30%,,12.2,,,,180929100,"2017, "
1458,ROGERS,Municipal ,K-12 School,15 Everett St,2136,"108,832",44,100,,K-12 School,1902,260.6,2.4,"4,785,810.40",4.20%,95.80%,,1.5,,,,1808963000,"2016, 2017, "
1459,Stony Brook Village,Yes,Multifamily Housing,150 Clare Ave,2136,"77,407",98.5,44,,Multifamily Housing,1964,445.3,5.8,"7,622,325.40",16.40%,83.60%,,7417.6,,,,1806881000,"2015, 2016, 2017, "
1460,Central Supply,Yes,Police Station,1555 Hyde Park Ave,2136,"31,000",664.5,Not Available,,Police Station,2000,"1,126.90",36.4,"20,599,333.00",4.90%,95.10%,,,,,,1809445000,"2016, 2017, "
1461,Mother Brook Trust,Yes,Multifamily Housing,1608 River Street,2136,"66,954",Not Available,Not Available,,Multifamily Housing,1986, -   ,0, Not Available ,,,,,,,,1812141000,"2015, 2017, "
1462,Hyde Park Storage LLC,Yes,Self-Storage Facility,1641 Hyde Park Ave,2136,"40,188",21.4,Not Available,,Self-Storage Facility,1997,41.5,1,"860,224.00",,90.80%,,0.2,"249,266",,,9450000,"2016, 2017, "
1463,Boston Trinity Academy,Yes,K-12 School,17 Hale Street,2136,"53,000",51.6,98,,K-12 School,1956,145.6,2.7,"2,735,336.60",0.30%,99.70%,,10.7,,"We had an energy audit approximately 3 years ago and replace all our bulbs into either LED, or energy efficient florescent or lamp bulbs.I used utility bills and for electric use I used actual consumption not multiplied by the 120 billing factor for 12 months use.",,1811281000,"2014, 2015, 2016, 2017, "
1464,Alpine Village Condominium,Yes,Multifamily Housing,25 Alpine Street,2136,"36,794",35.9,87,,Multifamily Housing,2004,103.3,2.8,"1,320,487.30",77.70%,22.30%,,33.5,,"Interior Common Area estimated as 1500 sq feet.No separate meter for waste.  Water meter provides combined data for both water and sewer.",,1801543000,"2017, "
1465,George Robert White Resource Center,Municipal ,Non-Refrigerated Warehouse,26 Central Ave,2136,"12,300",Not Available,Not Available,,Other,2000, Not Available ,Not Available, Not Available ,,,,,,,,1808974000,"2016, 2017, "
1466,ATJ Neponset III,Yes,Multifamily Housing,30 - 46 Sierra Road,2136,"43,400",Not Available,Not Available,,Multifamily Housing,1964, Not Available ,Not Available, Not Available ,,,,,,,,1809785000,"2017, "
1467,CHANNING,Municipal ,K-12 School,35 Sunnyside St.,2136,"32,582",59.2,95,,K-12 School,1926,112.4,3.4,"1,930,234.20",15.80%,84.20%,,8.8,,,,1811999000,"2016, 2017, "
1468,HEMENWAY,Municipal ,K-12 School,37 Millstone Rd.,2136,"15,077",70.9,83,,K-12 School,1947,67,4.4,"1,068,479.70",29.60%,70.40%,,7.6,,,,1809550000,"2016, 2017, "
1469,Riley House: 39 Maple Avenue,Yes,Multifamily Housing,39 Maple Avenue,2136,"46,834",66.7,30,,Multifamily Housing,2000,197,4.2,"3,125,433.60",30.70%,69.30%,,26.2,,,,1809143010,"2015, 2016, 2017, "
1470,GREW,Municipal ,K-12 School,40 Gordon Ave.,2136,"32,216",53.1,96,,K-12 School,1956,102.2,3.2,"1,710,394.60",20.50%,79.50%,,10.5,,,,1811478000,"2016, 2017, "
1471,Georgetowne Homes I,Yes,Multifamily Housing,400A Georgetowne Drive,2136,"1,540,954",29.4,100,,Multifamily Housing,1900,"2,502.70",1.6,"45,368,276.30",6.30%,93.70%,,32.5,,,,1812326000,"2015, 2017, "
1472,Fairview Cemetery Administration Building,Municipal ,Office,45 Fairview Ave,2136,"2,400",20.3,Not Available,,Office,2000,4.2,1.7,"48,619.80",100.00%,,,32.1,,,,1812269085,"2016, 2017, "
1473,Match Community Day,Yes,K-12 School,50 Poydras Street,2136,"72,000",46.1,75,,"K-12 School, Parking",2015,283.5,3.9,"3,317,806.10",100.00%,,,4.8,,,,1801498010,"2017, "
1474,District 8 Yard,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",58 Dana Ave,2136,"7,966",138,Not Available,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,27.9,9.3,"413,972.00",44.10%,55.90%,,7.2,,,,1809224000,"2016, 2017, "
1475,Engine 48,Municipal ,Fire Station,60 Fairmount Ave,2136,"16,062",Not Available,Not Available,,Fire Station,2000, Not Available ,Not Available, Not Available ,,,,14.8,,,,1809015000,"2016, 2017, "
1476,Cummins Realty Trust,Yes,Multifamily Housing,605 Truman Highway,2136,"66,410",Not Available,Not Available,,Multifamily Housing,1970, Not Available ,Not Available, Not Available ,,,,,,,,1811022000,"2015, 2017, "
1477,GREENWOOD E,Municipal ,K-12 School,612 METROPOLITAN AVE,2136,"51,128",39,100,,K-12 School,1957,114.2,2.2,"1,995,515.60",12.70%,87.30%,,2.3,,,,1807633008,"2016, 2017, "
1478,65 Sprague,Yes,Non-Refrigerated Warehouse,65 Sprague ST,2136,"256,346",83.5,Not Available,,Other,1940,"1,347.50",5.3,"21,403,591.20",30.40%,,,9.7,,,,1812981000,"2016, 2017, "
1479,HYDE PARK HS,Municipal ,K-12 School,655 Metropolitan Ave.,2136,"186,589",67.4,66,,K-12 School,1929,777.4,4.2,"12,583,433.70",26.80%,73.20%,,4.3,,,,1807529000,"2016, 2017, "
1480,695 Realty Corp,Yes,Mixed Use Property,695 Truman Highway,2136,"35,000",3.4,Not Available,,Other,1985,10.2,0.3,"119,426.80",100.00%,,,76.9,,,,1810585001,"2016, 2017, "
1481,Academy Training,Municipal ,Police Station,85 Williams Ave,2136,"59,500",9.4,Not Available,,Police Station,2000,47.6,0.8,"557,138.40",100.00%,,,,,,,1810341000,"2016, 2017, "
1482,Shops at Riverwood,Yes,Retail Store,892 River Street,2136,"59,039",Not Available,Not Available,,"Other - Mall, Parking, Supermarket/Grocery Store",2009, Not Available ,Not Available, Not Available ,,,,9.2,,,,1804383000,"2015, 2016, 2017, "
1483,91 Sprague,Yes,Mixed Use Property,91 Sprague St,2136,"51,428",12.7,Not Available,,Other,1920,35.8,0.7,"655,098.70",4.90%,95.10%,,251.6,,,,1812983001,"2017, "
1484,ROOSEVELT,Municipal ,K-12 School,95 Needham Rd.,2136,"40,268",74.8,85,,K-12 School,1967,175.6,4.4,"3,012,827.90",16.00%,84.00%,,3.5,,,,1809913000,"2016, 2017, "
1485,Boston Baptist College,Yes,Adult Education,950 Metropolitan Ave,2136,"40,425",77,Not Available,,Adult Education,1904,184.2,4.6,"3,110,852.10",18.90%,81.10%,,26.5,,,,1810945000,"2016, 2017, "
1486,Readville,Yes,Distribution Center,Sprague Street,2136,"41,250",6.4,99,,Distribution Center,1950,16.7,0.4,"264,067.50",31.00%,69.00%,,,,,,1812975000,"2016, 2017, "
1487,114 Western Ave,Yes,Office,114 Western Ave,2138,"70,849",62.4,70,,"Office, Other, Urgent Care/Clinic/Other Outpatient",1925,367.7,5.2,"4,422,700.30",92.90%,7.10%,,16.2,,,,2200268000,"2015, 2016, 2017, "
1488,41 Temple Street,Yes,College/University,41 Temple Street,2139,"180,000",7.3,Not Available,,College/University,1920,112.3,0.6,"1,314,370.60",100.00%,,,4.9,,,,300067000,"2017, "
1489,Lovejoy Wharf,Yes,Office,160 N. Washington St. ,2144,"236,688",67.3,81,,"Office, Retail Store",2015,"1,218.20",5.1,"15,926,206.40",72.30%,27.70%,,10.6,,"Vacant retail space of 11786 sq ft, entered as office and less than 10% vacancyLEED Project Name: 1 Lovejoy  LEED Project Number: 1000091694 ",,303060001,"2016, 2017, "
1490,Loeb House,Yes,Office,10 Harvard Way,2163,"6,067",40,95,,Office,1940,17.4,2.9,"242,442.70",28.20%,,71.80%,18.6,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Connell, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, "
1491,Spangler Center,Yes,Other - Entertainment/Public Assembly,117 Western Ave,2163,"139,437",109.4,Not Available,,Other - Entertainment/Public Assembly,2000,"1,066.40",7.6,"15,257,933.40",30.50%,17.40%,52.10%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200490000,"2014, 2015, 2016, 2017, "
1492,Batten Hall,Yes,College/University,125 Western Avenue,2163,"77,029",68.6,Not Available,,College/University,1963,385.4,5,"5,283,500.90",53.10%,38.70%,,13,"128,100","Harvard Real Estate (HRE) owns Batten Hall (aka Harvard Innovation Lab, or 125 Western Avenue). HBS pays for utilities and occupies the building.A 113 solar PV system was installed at Batten Hall in September of 2014.",,2200500000,"2014, 2016, 2017, "
1493,Morris Hall,Yes,Residence Hall/Dormitory,14 Harvard Way,2163,"50,786",40.5,95,,Residence Hall/Dormitory,1926,151.6,3,"2,057,372.20",38.30%,,61.70%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 29% of the meter shared with Gallatin, Hamilton, Connell, Loeb, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2015, 2016, 2017, "
1494,Morgan Hall,Yes,Office,15 Harvard Way,2163,"117,707",42.1,96,,Office,1927,386.3,3.3,"4,952,763.10",57.20%,,39.10%,20.1,"54,690","Water is allocated by gross square footage for this property, and does not represent actual usage.A 48 kW solar PV system had been installed at Morgan Hall in March 2014.",,2200530000,"2014, 2015, 2016, 2017, "
1495,Connell House,Yes,Office,20 Harvard Way,2163,"6,067",33.3,99,,Office,1940,14.7,2.4,"201,891.60",34.50%,,65.50%,18.6,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 3% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, "
1496,Gallatin Hall,Yes,Residence Hall/Dormitory,24 Harvard Way,2163,"50,956",49.9,85,,Residence Hall/Dormitory,1926,192.9,3.8,"2,540,228.60",50.00%,,50.00%,18.5,,"Steam usage is allocated as 29% of the meter shared with Connell, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF. Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2015, 2016, 2017, "
1497,Baker Library,Yes,Library,25 Harvard Way,2163,"157,820",76,Not Available,,Library,1927,872.6,5.5,"11,998,036.70",33.20%,,66.80%,21.6,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016, 2017, "
1498,Dillon House,Yes,Office,30 Harvard Way,2163,"5,674",102.7,58,,Office,1965,40,7,"582,477.30",11.70%,,88.30%,13.4,,"Steam usage is allocated as 10% of the meter shared with Chase Hall and Greenhill House.  Allocation is by GSF. Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016, 2017, "
1499,Cumnock Hall,Yes,Office,33 Harvard Way,2163,"26,137",64.7,85,,Office,1974,124.4,4.8,"1,690,172.20",37.90%,,62.10%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016, 2017, "
1500,Chase Hall,Yes,Residence Hall/Dormitory,34 Harvard Way,2163,"50,796",102.4,66,,"Office, Residence Hall/Dormitory",1926,365.1,7.2,"5,201,773.00",19.90%,,80.10%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage.  Steam usage is allocated as 81% of the meter shared with Greenhill House and Dillon House. Allocation is by GSF.",,2200530000,"2015, 2016, 2017, "
1501,Aldrich Hall,Yes,College/University,35 Harvard Way,2163,"105,818",59.9,Not Available,,College/University,1953,477.8,4.5,"6,333,400.20",47.40%,,52.60%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016, 2017, "
1502,Hawes Hall,Yes,College/University,37 Harvard Way,2163,"61,104",95.5,Not Available,,College/University,2002,474.1,7.8,"5,836,842.30",77.90%,,22.10%,18.5,,"Electricity usage is high because Crimson Commons electricity load comes off of this building. Crimson Commons can account for ~72,000 kWh monthly. Electricity was not deducted from the Hawes meter, but I manually added electricity usage for Crimson Commons. Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016, 2017, "
1503,Burden Hall,Yes,Performing Arts,39 Harvard Way,2163,"28,969",48.2,Not Available,,Performing Arts,1969,100.7,3.5,"1,397,507.80",29.60%,,70.40%,20.2,,"Water is allocated by gross square footage for this property, and does not represent actual usageBurden Hall will be demolished in 2018.",,2200490000,"2014, 2015, 2016, 2017, "
1504,Greenhill House,Yes,Office,40 Harvard Way,2163,"5,940",90.1,72,,Office,1965,36.9,6.2,"535,484.40",13.50%,,86.50%,18.6,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 9% of the meter shared with Chase Hall and Dillon House. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, "
1505,Dean's House,Yes,Single Family Home,41 Harvard Way,2163,"10,978",50.2,Not Available,,Single Family Home,1929,33.8,3.1,"550,586.70",25.70%,74.30%,,18.6,,"There has been issues with receiving the natural gas readings at the Dean's House. Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2015, 2016, 2017, "
1506,McCulloch Hall,Yes,Residence Hall/Dormitory,44 Harvard Way,2163,"51,821",65.1,75,,Residence Hall/Dormitory,1926,252.3,4.9,"3,375,338.10",43.80%,,56.20%,19,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2015, 2016, 2017, "
1507,Esteves Hall,Yes,Residence Hall/Dormitory,45 Harvard Way,2163,"78,375",72.1,74,,Residence Hall/Dormitory,1969,415.2,5.3,"5,651,978.00",37.10%,,62.90%,18.5,,"Formerly called Baker Hall, a complete gut renovation took place from Feb 2014 to March 2015. This can account for the decreased or incomplete usages. The water had been shut off to the building in Feb 2014. The steam had also been shut off from June 2014 until Dec 2014.Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 81% of the meter shared with McCollum. Allocation is by GSF.",,2200530000,"2015, 2016, 2017, "
1508,McCollum Center,Yes,Social/Meeting Hall,47 Harvard Way,2163,"18,925",77,Not Available,,Social/Meeting Hall,1969,106.5,5.6,"1,456,808.60",35.20%,,64.80%,19.7,,"Steam usage is allocated as 19% of the meter shared with Esteves. Allocation is by GSF. When Esteves was under construction, McCollum was being heated from McArthur.Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016, 2017, "
1509,McArthur Hall,Yes,Residence Hall/Dormitory,47A Harvard Way,2163,"107,673",64.7,81,,Residence Hall/Dormitory,1999,504.2,4.7,"6,966,567.40",31.40%,,68.60%,19.3,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2015, 2016, 2017, "
1510,Cotting House,Yes,Office,50 Harvard Way,2163,"16,747",38.5,98,,Office,1968,47.3,2.8,"644,019.60",37.30%,,62.70%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016, 2017, "
1511,Tata Hall,Yes,Residence Hall/Dormitory,53 Harvard Way,2163,"157,587",41.5,88,,Residence Hall/Dormitory,2012,468.2,3,"6,544,510.00",52.40%,43.00%,,19.4,"87,300","Water is allocated by gross square footage for this property, and does not represent actual usageA 71 kW solar PV system had been installed at Tata Hall in November 2013.",,2200530000,"2015, 2016, 2017, "
1512,Rock Center,Yes,Office,60 North Harvard Street,2163,"27,782",84.3,63,,Office,1969,172.7,6.2,"2,341,440.20",38.50%,,61.50%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016, 2017, "
1513,Class of 1959 Chapel,Yes,Worship Facility,66 North Harvard Street,2163,"6,932",96.3,1,,Worship Facility,1992,48.5,7,"667,807.20",32.60%,,67.40%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016, 2017, "
1514,Glass Hall,Yes,Office,660 Soldiers Field Road,2163,"7,563",66.7,82,,Office,1926,35.9,4.8,"504,815.80",25.20%,,74.80%,18.6,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016, 2017, "
1515,Mellon Hall,Yes,Residence Hall/Dormitory,670 Soldiers Field Road,2163,"47,698",63.6,84,,Residence Hall/Dormitory,1926,217.4,4.6,"3,035,177.00",27.50%,,72.50%,19,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 88% of the meter shared with Wilder House.  Allocation is by GSF.",,2200530000,"2015, 2016, 2017, "
1516,Wilder House,Yes,Office,680 Soldiers Field Road,2163,"6,377",59.8,95,,Office,1926,26.9,4.2,"381,327.20",21.60%,,78.40%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 12% of the meter shared with Mellon Hall.  Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, "
1517,Ludcke House,Yes,Office,690 Soldiers Field Road,2163,"9,611",30.5,96,,Office,1926,21.8,2.3,"293,385.00",40.70%,,59.30%,18.6,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Connell, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, "
1518,Shad Hall,Yes,Mixed Use Property,70 North Harvard Street,2163,"132,424",114.1,Not Available,,"Data Center, Office, Other - Recreation",1990,"1,085.90",8.2,"15,107,105.40",50.20%,31.40%,17.80%,12.2,"24,581","Shad Hall has its own water meter.Shad data center electric meter is a submeter of the building electric meter. A 35 kW solar PV system was installed approx. 10 years ago.",,2200530000,"2014, 2015, 2016, 2017, "
1519,Hamilton Hall,Yes,Residence Hall/Dormitory,700 Soldiers Field Road,2163,"49,297",44.1,90,,Residence Hall/Dormitory,1926,163.1,3.3,"2,173,140.00",45.60%,,54.40%,18.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 27% of the meter shared with Gallatin, Connell, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2015, 2016, 2017, "
