,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
1288,Soldiers Field Park Garage,Yes,Parking,111 Western Avenue,02134,270637,5.6,Not Available,,Parking,1975,146.6,0.5,1515543.7,1.0,,,,,"Boston Data
610 640 SOLDIERS FIELD RD
Parcel	2200480000

Harvard Data
Root	06114
Soldiers Field Park Garage	
111 Western Ave
TS
",,2200480000,"2014, 2015, 2016"
1289,Somerset Condominium,Yes,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",02215,155880,62.8,68,,"Multifamily Housing, Office",1897,833.1,5.3,9782255.9,0.73,0.27,,32.1,,,,503809000,"2015, 2016"
1290,Sophine LPS,Yes,Multifamily Housing,150 Huntington Avenue,02115,287281,94.5,10,,"Multifamily Housing, Parking",1980,2046.9,7.1,27148531.6,0.51,0.49,,61.8,,,,0400864000,"2015, 2016"
1291,South Bay Center: South Bay Center,Yes,Retail Store,8 Allstate Road,02125,572434,2.5,Not Available,,"Parking, Retail Store",2005,39.4,0.1,1422534.6,0.97,0.03,,24.9,291363.0,"
Number of buildings: 3",,Not Available,"2014, 2015, 2016"
1292,South Boston Branch,Municipal,Library,646 East Broadway,02127,10800,77,Not Available,,Library,2000,57,5.3,831187.4,0.354176879967141,0.6458230901960255,,,,,,Not Available,2016
1293,South Boston Elderly,Yes,Multifamily Housing,120 H Street,02127,25500,2192.8,1,,Multifamily Housing,1985,3015.1,118.2,55915792.3,0.02,0.98,,58.3,,,,0602147000,"2015, 2016"
1294,south boston health center,Yes,Medical Office,409 west broadway,02127,40000,124.7,17,,Medical Office,1885,391.9,9.8,4988744.2,0.58,0.42,,8.3,,info taken from monthly bills,,0601141000,2016
1295,SOUTH BOSTON HS,Municipal,K-12 School,95 G St.,02127,160270,98.7,51,,K-12 School,1901,918,5.7,15818863.7,0.11266707001211472,0.8873329298804186,,,,,,Not Available,2016
1296,South Cove Plaza: 230 Stuart Street,Yes,Multifamily Housing,230 Stuart St,02116,139560,44.1,85,,Multifamily Housing,1982,482.1,3.5,6148569.4,0.58,0.42,,55.5,,,,0500800000,"2015, 2016"
1297,South Cove Plaza: 285 Tremont St,Yes,Multifamily Housing,285 Tremont St,02116,84050,86.6,34,,Multifamily Housing,1982,484.4,5.8,7281325.2,0.31,0.69,,53.5,,,,0500066000,"2015, 2016"
1298,South End Branch,Municipal,Library,685 Tremont St,02118,11342,53.5,Not Available,,Library,2000,48.2,4.3,606404.2,0.605873376206827,0.39412658431455455,,,,,,Not Available,2016
1299,South Hall,Yes,College/University,321 Brookline Avenue,02115,26100,102.5,Not Available,,College/University,1905,169.9,6.5,2674802.1,0.24,0.76,,64.8,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016"
1300,Spangler Center,Yes,Other - Entertainment/Public Assembly,117 Western Ave,02163,139437,122.7,Not Available,,Other - Entertainment/Public Assembly,2000,1245.4,8.9,17115564.9,0.28,0.17,0.55,21.9,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200490000,"2014, 2015, 2016"
1301,Sparrow Enterprises Ltd,Yes,Manufacturing/Industrial Plant,98r Condor Street,02128,46000,28.8,Not Available,,Manufacturing/Industrial,1986,83.9,1.8,1324963.5,0.23,0.77,,2.4,,,,Not Available,2016
1302,Special Operations Fire,Municipal,Fire Station,108 Holton Street,02135,11500,271.7,Not Available,,Fire Station,2000,172.3,15,3124895.3,0.046432051659458795,0.953567954004731,,,,,,Not Available,2016
1303,Special Operations Police,Municipal,Police Station,3 Edgewood St,02119,20000,173.7,Not Available,,Police Station,2000,233.7,11.7,3473407.2,0.32475524320903115,0.6752447629808562,,,,,,Not Available,2016
1304,SPIRE 65 BAY ST LLC,Yes,Manufacturing/Industrial Plant,65 BAY STREET,02125,75000,130.4,Not Available,,Manufacturing/Industrial,2001,916.8,12.2,9779182.2,0.93,0.07,,612.7,,,,1503130010,"2014, 2015, 2016"
1305,Springhouse Inc,Yes,Senior Care Community,44 Allandale Street ,02130,172770,133,4,,Senior Care Community,1996,1497.5,8.7,22979879.8,0.28,0.72,,27.2,,,,2003594000,"2015, 2016"
1306,SS Brighton MA LLC,Yes,Self-Storage Facility,145 N. Beacon St.,02135,128855,17.4,Not Available,,Self-Storage Facility,2007,180.1,1.4,2238485,0.63,0.37,,0.5,,,,2201904000,"2014, 2015, 2016"
1307,SSFC,Yes,Financial Office,One Lincoln Street,02111,1043218,124,70,,"Data Center, Financial Office, Parking, Restaurant",2003,12330,11.8,129332337.4,0.97,0.03,,18.2,,,,0304246010,"2014, 2015, 2016"
1308,St Germain,Yes,Multifamily Housing,8-67 St Germain Street,02116,159042,21.2,100,,Multifamily Housing,1900,299.4,1.9,3368702.4,0.82,0.18,,42.6,,,,0401229000,"2015, 2016"
1309,St Joseph's Community Inc,Yes,Multifamily Housing,86 Crispus Attucks Pl,02119,140932,82.2,96,,Multifamily Housing,1990,636.7,4.5,11584002,0.04,0.96,,8.3,,,,0903820000,2016
1310,St. Ann Hall,Yes,Residence Hall/Dormitory,410 The Fenway,02115,49803,65,82,,Residence Hall/Dormitory,1962,214.6,4.3,3238769.7,0.3,0.7,,26.5,,"In August 2014, we replaced an aging boiler with a high-efficiency condensing boiler.

Between October 2014 and January 2015, we upgraded 215 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 73,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",,0401847000,"2014, 2015, 2016"
1311,St. Elizabeth Medical Center,Yes,Hospital (General Medical & Surgical),736 Cambridge Street,02135,651000,215.3,91,,Hospital (General Medical & Surgical),1960,9055.1,13.9,140182156.1,0.26,0.74,,22.9,,,,2101836000 2101835100,"2014, 2015, 2016"
1312,St. Helena's House: 89 Union Park Street,Yes,Multifamily Housing,89 Union Park St,02118,85828,60.3,80,,Multifamily Housing,1986,342.5,4,5171306.1,0.3,0.7,,40.2,,,,0801080000,"2015, 2016"
1313,St. Joseph Hall,Yes,Residence Hall/Dormitory,430 The Fenway,02115,94450,44.8,90,,Residence Hall/Dormitory,1966,301.7,3.2,4232422.4,0.42,0.58,,38.3,,"Between October 2014 and January 2015, we upgraded 394 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 135,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html

The gas meter was broken between August, 2015 - January, 2016. Therefore, the usage amounts are estimated based on the monthly charges. ",,0401847000,"2014, 2015, 2016"
1314,Stables,Municipal,Police Station,165 Allandale St,02120,3440,214.1,Not Available,,Police Station,2000,7.8,2.3,736640,0.1089872393570808,,,,,,,Not Available,2016
1315,"Standish Village TRS, LLC",Yes,Senior Care Community,1190 Adams St,02124,76430,105.6,Not Available,,Senior Care Community,1880,560,7.3,8074123.7,0.37,0.63,,73.1,,Reporting was completed by a tenant who leases the whole building.,,1703663030,"2015, 2016"
1316,State Transportation Building ,Yes,State Office Building,10 Park Plaza,02116,901000,52,0,0,"State Office Building, Office",1984,4522.26,,46932216,0.79,,0.21,,,,,,2016
1317,Station 06 (inactive),Municipal,Police Station,273 D St,02127,18084,Not Available,Not Available,,Police Station,2000,0,0,Not Available,,,,,,,,Not Available,2016
1318,Sterling Suffolk Race Cource LLC,Yes,Other - Entertainment/Public Assembly,525 McClellan Highway,02128,7100280,Not Available,Not Available,,"Other - Entertainment/Public Assembly, Parking",1935,0,0,Not Available,,,,,,,,Not Available,"2014, 2016"
1319,Stillman Tennis Center,Municipal,Fitness Center/Health Club/Gym,44 Terminal St,02129,64320,27.1,Not Available,,Fitness Center/Gym,2000,92.7,1.4,1746200.2,,0.9999999828198395,,,,,,Not Available,2016
1320,Stony Brook Commons,Yes,Multifamily Housing,390 Blue Ledge Drive,02131,459000,74.3,97,,Multifamily Housing,1900,1873.9,4.1,34086015.3,0.04,0.96,,67.1,,,,1806016400,"2015, 2016"
1321,Stony Brook Village,Yes,Multifamily Housing,145 Navarre St,02136,77407,124.4,18,,Multifamily Housing,1964,572.3,7.4,9626873,0.15,0.85,,5894.5,,,,1806881000,"2015, 2016"
1322,Storage,Municipal,Fire Station,302 Northern Ave,02210,5000,18.7,Not Available,,Fire Station,2000,9,1.8,93502.4,1.000000513355807,,,,,,,Not Available,2016
1323,STP LLC,Yes,Retail Store,477 481 Washington Street,02111,171918,Not Available,Not Available,,"Office, Retail Store",1920,Not Available,Not Available,Not Available,,,,,,,,Not Available,"2014, 2015, 2016"
1324,Strand Theatre,Municipal,Other,543 Columbia Rd,02125,18000,278,Not Available,,Other,2000,344.3,19.1,5004878.2,0.3591652000642094,0.6408347972384223,,,,,,Not Available,2016
1325,Street Light Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",327 Forest Hills Street,02130,4320,111.4,Not Available,,Repair Services,2000,23.5,5.4,481371,0.5052743517993398,,,,,,,Not Available,2016
1326,Streetlighting Yard PWD,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",430 Canterbury St,02131,9150,25.4,Not Available,,Repair Services,2014,22.5,2.5,232824.7,0.9999997594756913,,,,,,,Not Available,2016
1327,Stress Unit,Municipal,Police Station,249 River St,02126,3115,80.3,Not Available,,Police Station,2000,15.7,5,249982.8,0.2231465044795082,0.7768533619873048,,,,,,Not Available,2016
1328,SUMNER,Municipal,K-12 School,15 Basile St.,02131,49105,57.2,95,,K-12 School,1931,168.4,3.4,2811109.5,0.15567144289470047,0.8443285367894776,,,,,,Not Available,2016
1329,Sumner Hill House Condos: Sumner Hill House Condos,Yes,Multifamily Housing,76 Elm Street,02130,95501,52.8,87,,Multifamily Housing,1985,334.9,3.5,5041272.6,0.31,0.69,,23.8,,"Double pane windows, Sonifil White Roof - Asphalt Roof and Slate Roof ---- Boiler upgraded in 2016",,1901237000,2016
1330,Symphony Court Condo,Yes,Multifamily Housing,41 Westland Ave,02115,72000,30.8,99,,Multifamily Housing,1960,165.1,2.3,2218754.9,0.49,0.51,,17.1,,,,0401482000,"2015, 2016"
1331,Symphony East: 334 Massachusetts Ave,Yes,Multifamily Housing,334 Massachusetts Ave,02115,154105,66.4,65,,Multifamily Housing,1978,724.3,4.7,10235725.2,0.4,0.6,,44.0,,,,0402295000,2016
1332,Symphony West: 333 Massachusetts Ave,Yes,Multifamily Housing,333 Massachusetts Ave,02115,174779,78.4,43,,Multifamily Housing,1978,960.3,5.5,13706279.1,0.39,0.61,,42.4,,,,0402277000,2016
1333,TAFT,Municipal,K-12 School,20 Warren St.,02135,113199,59.5,89,,K-12 School,1895,409.4,3.6,6733926.3,0.17600822866148683,0.8239917819964855,,,,,,Not Available,2016
1334,Tai Tung Village,Yes,Multifamily Housing,232 Harrison Avenue,02111,596474,39.3,100,,"Multifamily Housing, Parking",1973,1307,2.2,23428839.4,0.06,0.94,,28.7,,,,0305021000,"2015, 2016"
1335,Taj Boston,Yes,Hotel,15 Arlington Street,02116,178000,121017.9,1,,Hotel,1927,1430855.6,8038.5,21541179753.1,0.0,0.0,1.0,158.0,,,,Not Available,2016
1336,Tata Hall,Yes,Residence Hall/Dormitory,53 Harvard Way,02163,157587,56.8,84,,Residence Hall/Dormitory,2012,653,4.1,8943184,0.46,0.54,,22.9,82620.0,"Water is allocated by gross square footage for this property, and does not represent actual usage

A 71 kW solar PV system had been installed at Tata Hall in November 2013.",,2200530000,"2014, 2015, 2016"
1337,TAYLOR,Municipal,K-12 School,1060 Morton St.,02126,51389,38.3,99,,K-12 School,1931,124.8,2.4,1970355.4,0.23389456947716133,0.7661054093180348,,,,,,Not Available,2016
1338,TD Garden,Yes,Indoor Arena,100 Legends Way,02114,755000,105.8,Not Available,,"Indoor Arena, Parking",1995,6643.9,8.8,79882210,0.69,0.31,,24.3,,,,0301925100,"2014, 2015, 2016"
1339,Teele Hall,Yes,Office,230 Western Ave,02134,52688,67.8,68,,Office,1984,328.1,6.2,3570738,0.89,0.11,,14.7,,,,2201058010,"2014, 2015, 2016"
1340,Temple Bnai Moshe,Yes,Worship Facility,16 Sidlaw rd,02135,32425,26.6,93,,"Parking, Worship Facility",1934,56,1.7,862282.2,0.27,0.73,,4.8,,,,2102533000,2016
1341,Tenean Properties,Yes,Office,60 Tenean Street,02122,48399,51.6,97,,Office,1968,160.3,3.3,2495263.2,0.26,0.74,,0.2,,,,1602580000,2016
1342,Tent City,Yes,Multifamily Housing,130 Dartmouth Street,02116,327174,79,46,,"Multifamily Housing, Retail Store",1987,1814.7,5.5,25853154.1,0.39,0.61,,40.3,,,,0400600040,"2015, 2016"
1343,"Teraview Investments, LLC",Yes,Office,1000 Washington Street,02118,242240,81.1,67,,Office,1900,1616.4,6.7,19643295.7,0.67,0.33,,15.2,,,,0306234010,"2014, 2016"
1344,The Atlantic Building,Yes,Office,400 Atlantic Avenue,02210,104690,81.4,79,,Office,1984,694.7,6.6,8523734.5,0.65,0.35,,11.5,,,,0302960000,"2014, 2015, 2016"
1345,The Biewend Building,Yes,Medical Office,250 Tremont Street,02116,154528,70898.6,1,,Medical Office,1924,727620.2,4708.7,10955810970.9,0.0,,1.0,14.5,,,,Not Available,"2014, 2015, 2016"
1346,The Blackstone Apartments,Yes,Multifamily Housing,33 Blossom Street,02114,129648,59.4,86,,Multifamily Housing,1978,516.3,4,7704342.4,0.32,0.68,,36.6,,,,0300670000,"2015, 2016"
1347,The Boston Conservatory,Yes,College/University,8 Fenway,02215,45738,86.3,Not Available,,College/University,1899,262.6,5.7,3947707.1,0.31,0.69,,17.6,,,,Not Available,2016
1348,The Boston Conservatory,Yes,College/University,31 Hemenway St,02115,39900,122.5,Not Available,,College/University,2010,357.3,9,4886540.4,0.46,0.54,,6.5,,,,Not Available,2016
1349,The Boston Globe,Yes,Other,135 William T. Morrissey Blvd.,02205,710000,91.1,Not Available,,"Other, Parking",1958,6189.8,8.7,64651689.1,0.98,0.02,,20.7,,,,1302364050,"2014, 2015, 2016"
1350,"The Bostonian Boston, a Millennium Hotel",Yes,Hotel,26 North Street,02109,204900,87,60,,Hotel,1982,1353.2,6.6,17821518.6,0.52,0.48,,28.5,,,,0303365000,"2014, 2015, 2016"
1351,The Colonnade Hotel,Yes,Hotel,120 Huntington Avenue,02116,276439,147.5,48,,Hotel,1971,2657,9.6,40762948.7,0.28,0.72,,72.6,,,,Not Available,"2014, 2015, 2016"
1352,The Colonnade Residences,Yes,Multifamily Housing,118 Huntington Avenue,02116,172000,103.9,Not Available,,"Multifamily Housing, Parking",2002,1167.7,6.8,17864080.8,0.28,0.72,,27.4,,,,0400905010,"2015, 2016"
1353,The Copley Condominium,Yes,Multifamily Housing,271 Dartmouth St,02116,53000,60.3,60,,Multifamily Housing,1871,260.4,4.9,3197879.9,0.65,0.35,,61.8,,Gross floor area was estimated using the total rentable area plus common areas.,,501312000,"2015, 2016"
1354,The Corner Mall,Yes,Office,413 Washington Street,02108,212515,108.8,52,,"Office, Performing Arts, Retail Store",1925,1749.4,8.2,23119253.5,0.46,0.36,0.17,36.9,,"This is a mixed use office/retail/food court/theatre building.
",,0304738000,"2014, 2015, 2016"
1355,The Eliot Hotel,Yes,Hotel,370 Commonwealth avenue,02215,72950,Not Available,Not Available,,Hotel,1925,Not Available,Not Available,Not Available,,,,,,,,0503800000,"2014, 2015, 2016"
1356,"The First Church of Christ, Scientist (plaza)",Yes,Office,210 Massachusetts Avenue,02115,1081190,123.7,Not Available,,"Museum, Office, Parking, Worship Facility",1934,8638.8,8,133700447,0.26,0.73,,11.6,,"This multi-building property consists of 5 bldgs (Publishing House Bldg at 210 Mass Ave; Church at 250 Mass Ave;  Reflection Hall at 235 Huntington Ave; Colonnade at 101 Belvidere;  and underground parking garage at 195 Huntington Ave)  spanning three parcels.  The property includes a data center, reflection pool, spray park fountain and 10 acres of open plaza.
One electric meter services all of the bldgs/equipment.  Electricity consumed by the reflection pool, fountain, and plaza are estimated and subtracted from the total metered electricity.  One natural gas meter services all of the buildings.  Water used for the reflection pool and plaza,  fountain, church irrigation system, and church recharge wells is not included in the water data reported.  The data center is powered by two metered UPS systems that provide only real time data and is included in the Office use and it's 32 servers are included in the # of computers.  Two new fuel oil ASTs were installed and filled in Feb 2015.

",,0401185000 0401150000 0401162000,"2014, 2015, 2016"
1357,The Forbes Building,Yes,Multifamily Housing,545 Centre Street,02130,88616,110.6,34,,Multifamily Housing,1976,791.2,8.9,9803741.3,0.29,,,46.9,,,,1901974000,"2014, 2015, 2016"
1358,The Gillette Company,Yes,Manufacturing/Industrial Plant,One Gillette Park,02127,1526083,684.4,Not Available,,Manufacturing/Industrial,1905,55718,36.5,1044445717.7,0.0,0.99,,26.3,,"11/10/2014: corrected site information to identify 14 buildings with total area equal to 1,527,083 square feet and oldest built in 1905.",,0601169000,"2014, 2015, 2016"
1359,The Heritage on the Garden,Yes,Mixed Use Property,300 Boylston Street,02116,357614,73.4,39,,"Multifamily Housing, Office, Other, Other - Services, Parking, Restaurant",1988,2336.6,6.5,26238772.9,0.82,0.18,,23.1,,"This is a mixed-use building.  87 condominiums, garage, office, retail space, spa and 2 restaurants.",,0501170002,"2014, 2015, 2016"
1360,The Jefferson Schoolhouse Condominium,Yes,Other - Lodging/Residential,240 Heath Street,02130,12600,137.7,Not Available,,Other - Lodging/Residential,1987,167.8,13.3,1734647.2,1.0,,,148.4,,,,1001671000,2016
1361,The Kensington,Yes,Multifamily Housing,665 Washington Street,02111,315480,62,Not Available,,"Multifamily Housing, Office, Parking, Retail Store",2013,1583.7,5,19573498.5,0.64,0.36,,33.9,,2203382000,,0304896020,"2015, 2016"
1362,The Landmark,Yes,Office,160 Federal Street,02110,366650,46,87,"2015, 2013",Office,1929,1631.3,4.4,16861938.8,1.0,,,11.2,,,,Not Available,"2014, 2015, 2016"
1363,The Lenox Hotel,Yes,Hotel,710 Boylston Street,02116,130410,133.6,67,"2007, 2004",Hotel,1900,1236.4,9.5,17419834.4,0.41,0.59,,64.4,,,,0401038000,"2014, 2015, 2016"
1364,The Liberty Hotel,Yes,Hotel,215 Charles St,02114,240000,179.7,8,,Hotel,2007,2949.7,12.3,43119892.6,0.35,0.65,,24.7,,,,0300758106,"2014, 2015, 2016"
1365,The Lofts,Yes,Other - Lodging/Residential,530 Atlantic Avenue,02210,124123,86.9,Not Available,,"Other - Lodging/Residential, Other - Restaurant/Bar",2011,771.7,6.2,10783060.7,0.42,0.58,,32.4,,The Lofts includes parcel # 03-02952-014,,0302952014,"2015, 2016"
1366,The Longwood: The Longwood,Yes,Multifamily Housing,1575 Tremont Street,02120,167113,83.6,43,,Multifamily Housing,1965,907.9,5.4,13973057.3,0.27,0.73,,31.2,,,,1000017000,"2015, 2016"
1367,The MASCO Building,Yes,Office,375 Longwood Avenue,02115,83307,129,Not Available,,"Office, Pre-school/Daycare, Restaurant, Retail Store",1992,869,10.4,10742680.6,0.64,0.36,,22.0,,,,01996100,"2014, 2015, 2016"
1368,The Mecca at Grove Hall,Yes,Other - Mall,456 - 474 Blue Hill Avenue,02121,77161,184.7,Not Available,,Other - Mall,1999,1156.5,15,14252176.3,0.64,0.36,,19.4,,211 Parking Spaces,,Not Available,2016
1369,The Metropolitan: 1 Nassau Street,Yes,Multifamily Housing,1 Nassau St,02111,350000,54.7,47,,Multifamily Housing,2001,1418.6,4.1,19147988.9,0.48,0.52,,45.9,,Alternate Boston parcel id is 0305424024. ,,0305424030,"2015, 2016"
1370,The Midtown Hotel,Yes,Hotel,220 Huntington Avenue,02115,98468,83.9,87,,"Hotel, Parking",1961,626.8,6.4,8257933.4,0.31,0.25,,71.0,,,,0402304000,"2014, 2015, 2016"
1371,The Nautica Condominium Leasehold Trust,Yes,Multifamily Housing,1 Warren St,02129,150977,75.9,67,,"Multifamily Housing, Parking",2000,838.7,5.6,11453140.6,0.46,0.54,,62.6,,,,Not Available,"2015, 2016"
1372,The Park Drive Condominium,Yes,Multifamily Housing,63-69 Park Drive,02115,35000,75.9,83,,Multifamily Housing,1925,159.5,4.6,2655293.5,0.16,0.84,,43.3,,Gross floor area was estimated using the total rentable area plus common areas.,,504253000,"2015, 2016"
1373,The Paulist Center,Yes,Worship Facility,5 Park Street,02108,36360,36859.1,Not Available,,"Residence Hall/Dormitory, Worship Facility",1945,89016.1,2448.2,1340195946.6,0.0,0.0,1.0,16.0,,"This whole building is in use 24/7, even though the drop down menus were only allowing me to say it was in use for 5 days a week.  There was no weekend option, when we have tons of things happening.",,Not Available,2016
1374,The Porter Condominium Trust,Yes,Multifamily Housing,156 Porter Street,02128,165000,65.4,42,,Multifamily Housing,2005,785.3,4.8,10783242.1,0.45,0.55,,41.6,,,,0104164010,2016
1375,The Portland Group Boston,Yes,Distribution Center,82 Gerard Street,02119,42030,64.3,Not Available,,Distribution Center,1925,169.9,4,2701777.9,0.22,0.78,,0.5,,Entered monthly usage from actual bills. The Portland Group leases the entire building from Barjan Realty so The Portland Group did the reporting.,,0800958000,2016
1376,The Roxbury Latin School,Yes,K-12 School,101 St. Theresa Avenue,02132,181272,57.3,76,,K-12 School,1928,711,3.9,10388318.1,0.35,0.65,,44.0,,,,2003263000,"2015, 2016"
1377,The Starboard Condominiums,Yes,Multifamily Housing,45 First Avenue,02129,47454,25.8,100,,Multifamily Housing,2013,90.1,1.9,1224966.1,0.47,0.53,,5.6,,,,0203511400,2016
1378,The Stearns: 10 Temple Place,Yes,Multifamily Housing,10 Temple Pl,02111,135344,64.4,69,,Multifamily Housing,1909,591.1,4.4,8713508.8,0.34,0.66,,49.4,,,,0304794000,2016
1379,The Victor,Yes,Multifamily Housing,110 Beverly St,02114,425709,45.8,67,,"Multifamily Housing, Parking, Retail Store",2013,1544.6,3.6,19515725.9,0.6,0.4,,17.2,,,,0301536000,"2015, 2016"
1380,The Viridian,Yes,Multifamily Housing,1282 Boylston Street,02215,272845,48.9,90,,"Multifamily Housing, Parking, Retail Store",2014,1082.7,4,13341405.8,0.64,0.36,,13.1,,This property was under construction in 2013 and 2014.  The first tenant moved in 5/1/2015.,,0504225000,"2015, 2016"
1381,"The Westin Copley Place, Boston",Yes,Hotel,10 Huntington Avenue,02116,885000,67.9,80,,"Hotel, Parking, Restaurant",1982,4742.3,5.4,60053490.1,0.55,0.3,0.15,29.7,,"Data for the meters is from our in-house meter reads, not directly from invoices. This is to ensure accuracy and consistency as well as provide more detail.",,0401067010,"2014, 2015, 2016"
1382,Theroch,Yes,Multifamily Housing,133 Columbia Road,02121,310225,62.9,86,,Multifamily Housing,1940,1177.4,3.8,19523745.4,0.16,0.84,,41.0,,,,1202313000120236000012023800001202398000120240200012024200001400064000140008400014000870001401065000140245700014024580001402511000,"2015, 2016"
1383,Thomas Johnson Community Center,Municipal,Other - Recreation,68 Annunciation Rd,02120,39600,7.2,Not Available,,Other - Recreation,2000,27.4,0.7,283196,1.0,0.0,,,,,,Not Available,2016
1384,THOMPSON,Municipal,K-12 School,100 Maxwell St.,02124,75508,53.7,94,,K-12 School,1892,251.2,3.3,4051076.5,0.20406339401391207,0.7959366068549927,,,,,,Not Available,2016
1385,Thomson Portfolio - 11 Farnsworth St - Parcel 06-02658-001,Yes,Financial Office,11 Farnsworth Street,02210,45280,79.5,74,2015,Financial Office,1900,324.5,7.2,3598492.3,0.71,,,6.9,,,,0602658001,"2015, 2016"
1386,Thomson Portfolio - 12-22 Thomson Place - Parcel 0602654010,Yes,Financial Office,12-44 Thomson Place,02210,184479,99,48,,"Financial Office, Office",1900,1673.4,9.1,18272281.9,0.88,0.12,,2.0,,,,0602654010,"2015, 2016"
1387,Thomson Portfolio - 25 Thomson Place - Parcel 0602652010,Yes,Office,25-35 Thomson Place,02210,117469,30.9,Not Available,,Office,1900,336.3,2.9,3633273.6,0.9,0.1,,1.0,,,,0602652010,"2015, 2016"
1388,Thomson Portfolio - 26 Thomson Place,Yes,Office,26-28 Thomson Place,02210,33942,82.3,55,,Office,1900,245.4,7.2,2793895.6,0.6,,,7.8,,,,0602654010,2016
1389,Thomson Portfolio - 35 Thomson Place,Yes,Office,35-37 Thomson Place,02210,53100,139.2,59,,Office,1900,504.6,9.5,7391246.1,0.35,0.65,,11.3,,,,0602652010,2016
1390,Thomson Portfolio - 44 Thomson Place,Yes,Office,42-56 Thomson Place,02210,32384,97,22,,Office,1900,261.9,8.1,3139641.6,0.69,0.31,,10.0,,,,0602654010,2016
1391,Thomson Portfolio 30-36 Thomson Place,Yes,Veterinary Office,30/36 Thomson Place,02210,73363,82.2,Not Available,,Veterinary Office,1900,512.8,7,6031818.2,0.73,0.27,,6.3,,,,0602654010,2016
1392,TIMILITY,Municipal,K-12 School,205 Roxbury St.,02119,83120,64.3,88,,K-12 School,1937,322,3.9,5343246,0.16380421938274972,0.836195791284923,,,,,,Not Available,2016
1393,TOBIN,Municipal,K-12 School,40 Smith St.,02120,64091,62.5,90,,K-12 School,1959,244.6,3.8,4002716.5,0.18330463324095023,0.8166953743289088,,,,,,Not Available,2016
1394,Tobin Community Center,Municipal,Other - Recreation,1481 Tremont St,02120,50000,97.6,Not Available,,Other - Recreation,2000,320.6,6.4,4879399.7,0.28835506466092536,0.7116449433318611,,,,,,Not Available,2016
1395,Tosteson Medical Education Center (TMEC),Yes,College/University,260 Longwood Ave,02115,180027,198.8,Not Available,,College/University,1905,2493.2,13.8,35783895.1,0.23,0.0,0.49,0.4,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2014, 2015, 2016"
1396,Tow Lot,Municipal,Other - Public Services,200 Frontage Rd,02118,46154,40.7,Not Available,,Other - Public Services,2000,161.7,3.5,1877170.6,0.6915715385698028,0.1720142097047546,,,,,,Not Available,2016
1397,Tower Point,Yes,Office,27-43 Wormwood Street,02210,155165,84.7,50,,Office,1990,1271.5,8.2,13142467.6,1.0,,,19.4,,,,0602754010,"2014, 2015, 2016"
1398,Towne Estates,Yes,Multifamily Housing,141 Lake Shore Road #2B,02135,344080,44.3,100,,Multifamily Housing,1965,891.3,2.6,15253897.3,0.12,0.88,,54.4,,,,4452243,"2015, 2016"
1399,Townelyne Condominium Trust,Yes,Other - Lodging/Residential,121 Tremont Street,02135,72040,53.4,Not Available,,"Other - Lodging/Residential, Parking",1979,253.4,3.5,3849055.8,0.29,0.71,,34.9,,,,2203713000,"2015, 2016"
1400,Training Academy / Fire Academy,Municipal,Fire Station,200 Moon Island,02169,30000,27.4,Not Available,,Fire Station,2000,32.5,1.1,822047.9,0.4089512740072689,,,,,,,Not Available,2016
1401,Transorg LP c/o KeyPoint Partners LLC,Yes,Other,21 Powerhouse Street,02127,60000,131.6,Not Available,,Other,1981,690,11.5,7896102.5,0.58,,,30.2,,"The water meter was changed out on October 24th, 2013. ",,0603405100,"2014, 2015, 2016"
1402,Traveler Storage LLC,Yes,Other,33 Traveler Street,02118,53312,26.1,Not Available,,Other,1988,96.1,1.8,1393357.3,0.36,0.64,,6.4,,,,0306576000,"2014, 2015, 2016"
1403,Tremont Commons Corporation,Yes,Other,131 Tremont Street,02111,46729,111.8,Not Available,,"Multifamily Housing, Office, Other, Restaurant",1924,438,9.4,5224028.5,0.7,0.3,,57.0,,,,Not Available,2016
